,curve_idx,target,sample_type,sample_id,igi_call,cycle_no,Fn,rn,groundtruth,Igi_call_quant,groundtruth_target
2594,59405,E gene,Buffer Negative Control (Extraction),S953295,Negative,45,244510.53,244510.53125,-1,0,0
2639,59789,N gene,Buffer Negative Control (Extraction),S953295,Negative,45,109959.08,109959.078125,-1,0,0
2684,59408,E gene,Buffer Negative Control (Extraction),S953296,Negative,45,252323.5,252323.5,-1,0,0
2729,59792,N gene,Buffer Negative Control (Extraction),S953296,Negative,45,121763.91,121763.90625,-1,0,0
2769,9543,S gene,Buffer Negative Control (Extraction),S141917,Negative,40,176208.47,176208.46875,-1,0,0
2809,9151,N gene,Buffer Negative Control (Extraction),S141917,Negative,40,121870.29,121870.2890625,-1,0,0
2849,9347,ORF1ab,Buffer Negative Control (Extraction),S141917,Negative,40,213304.55,213304.546875,-1,0,0
2889,21183,S gene,Buffer Negative Control (Extraction),S143015,Negative,40,239753.19,239753.1875,-1,0,0
2929,20791,N gene,Buffer Negative Control (Extraction),S143015,Negative,40,154064.56,154064.5625,-1,0,0
2969,20987,ORF1ab,Buffer Negative Control (Extraction),S143015,Negative,40,398080.84,398080.84375,-1,0,0
3009,3107,S gene,Buffer Negative Control (Extraction),S133929,Negative,40,217188.45,217188.453125,-1,0,0
3049,2339,N gene,Buffer Negative Control (Extraction),S133929,Negative,40,151567.45,151567.453125,-1,0,0
3089,2723,ORF1ab,Buffer Negative Control (Extraction),S133929,Negative,40,326280.1,326280.09375,-1,0,0
3129,3168,S gene,Buffer Negative Control (Extraction),S133937,Negative,40,217252.17,217252.171875,-1,0,0
3169,2400,N gene,Buffer Negative Control (Extraction),S133937,Negative,40,139339.94,139339.9375,-1,0,0
3209,2784,ORF1ab,Buffer Negative Control (Extraction),S133937,Negative,40,298671.2,298671.1875,-1,0,0
3249,3191,S gene,Buffer Negative Control (Extraction),S133938,Negative,40,226553.9,226553.90625,-1,0,0
3289,2423,N gene,Buffer Negative Control (Extraction),S133938,Negative,40,150363.06,150363.0625,-1,0,0
3329,2807,ORF1ab,Buffer Negative Control (Extraction),S133938,Negative,40,308395.78,308395.78125,-1,0,0
3369,3226,S gene,Buffer Negative Control (Extraction),S133935,Negative,40,206358.98,206358.984375,-1,0,0
3409,2458,N gene,Buffer Negative Control (Extraction),S133935,Negative,40,145501.31,145501.3125,-1,0,0
3449,2842,ORF1ab,Buffer Negative Control (Extraction),S133935,Negative,40,307462.78,307462.78125,-1,0,0
3489,8722,S gene,Buffer Negative Control (Extraction),S141934,Negative,40,175844.81,175844.8125,-1,0,0
3529,8330,N gene,Buffer Negative Control (Extraction),S141934,Negative,40,111586.19,111586.1875,-1,0,0
3569,8526,ORF1ab,Buffer Negative Control (Extraction),S141934,Negative,40,210102.2,210102.203125,-1,0,0
3609,8858,S gene,Buffer Negative Control (Extraction),S141950,Negative,40,172028.7,172028.703125,-1,0,0
3649,8466,N gene,Buffer Negative Control (Extraction),S141950,Negative,40,114298.49,114298.4921875,-1,0,0
3689,8662,ORF1ab,Buffer Negative Control (Extraction),S141950,Negative,40,226070.78,226070.78125,-1,0,0
3729,35520,S gene,Buffer Negative Control (Extraction),S279521,Negative,40,204938.27,204938.265625,-1,0,0
3769,35128,N gene,Buffer Negative Control (Extraction),S279521,Negative,40,129950.5,129950.5,-1,0,0
3809,35324,ORF1ab,Buffer Negative Control (Extraction),S279521,Negative,40,271370.84,271370.84375,-1,0,0
3849,35582,S gene,Buffer Negative Control (Extraction),S279517,Negative,40,146903.14,146903.140625,-1,0,0
3889,35190,N gene,Buffer Negative Control (Extraction),S279517,Negative,40,109548.16,109548.15625,-1,0,0
3929,35386,ORF1ab,Buffer Negative Control (Extraction),S279517,Negative,40,235956.98,235956.984375,-1,0,0
3974,48895,E gene,Buffer Negative Control (Extraction),S909500,Negative,45,306697.25,306697.25,-1,0,0
4019,49279,N gene,Buffer Negative Control (Extraction),S909500,Negative,45,120617.984,120617.984375,-1,0,0
4064,48957,E gene,Buffer Negative Control (Extraction),S909503,Negative,45,253346.47,253346.46875,-1,0,0
4109,49341,N gene,Buffer Negative Control (Extraction),S909503,Negative,45,115965.4,115965.3984375,-1,0,0
4154,49088,E gene,Buffer Negative Control (Extraction),S909501,Negative,45,275026.66,275026.65625,-1,0,0
4199,49472,N gene,Buffer Negative Control (Extraction),S909501,Negative,45,119452.21,119452.2109375,-1,0,0
4244,49111,E gene,Buffer Negative Control (Extraction),S909502,Negative,45,302905.8,302905.8125,-1,0,0
4289,49495,N gene,Buffer Negative Control (Extraction),S909502,Negative,45,124738.21,124738.2109375,-1,0,0
4334,51391,E gene,Buffer Negative Control (Extraction),S663719,Negative,45,132195.2,132195.203125,-1,0,0
4379,51775,N gene,Buffer Negative Control (Extraction),S663719,Negative,45,77131.195,77131.1953125,-1,0,0
4424,120463,E gene,Buffer Negative Control (Extraction),S1175444,Negative,45,332433.53,332433.53125,-1,0,0
4469,120847,N gene,Buffer Negative Control (Extraction),S1175444,Negative,45,113217.805,113217.8046875,-1,0,0
4514,120512,E gene,Buffer Negative Control (Extraction),S1175443,Negative,45,336632.5,336632.5,-1,0,0
4559,120896,N gene,Buffer Negative Control (Extraction),S1175443,Negative,45,106223.305,106223.3046875,-1,0,0
4604,108847,E gene,Buffer Negative Control (Extraction),S1144967,Negative,45,321900.28,321900.28125,-1,0,0
4649,109231,N gene,Buffer Negative Control (Extraction),S1144967,Negative,45,122941.266,122941.265625,-1,0,0
4694,108992,E gene,Buffer Negative Control (Extraction),S1144968,Negative,45,314447.72,314447.71875,-1,0,0
4739,109376,N gene,Buffer Negative Control (Extraction),S1144968,Negative,45,102814.695,102814.6953125,-1,0,0
4784,109063,E gene,Buffer Negative Control (Extraction),S1144961,Negative,45,304729.88,304729.875,-1,0,0
4829,109447,N gene,Buffer Negative Control (Extraction),S1144961,Negative,45,126976.68,126976.6796875,-1,0,0
4874,93967,E gene,Buffer Negative Control (Extraction),S1005964,Negative,45,314969.9,314969.90625,-1,0,0
4919,94351,N gene,Buffer Negative Control (Extraction),S1005964,Negative,45,147975.19,147975.1875,-1,0,0
4964,4704,E gene,Buffer Negative Control (Extraction),S604031,Negative,45,233512.75,233512.75,-1,0,0
5009,5088,N gene,Buffer Negative Control (Extraction),S604031,Negative,45,69169.49,69169.4921875,-1,0,0
5054,4927,E gene,Buffer Negative Control (Extraction),S604032,Negative,45,282815.38,282815.375,-1,0,0
5099,5311,N gene,Buffer Negative Control (Extraction),S604032,Negative,45,82001.1,82001.1015625,-1,0,0
5144,4969,E gene,Buffer Negative Control (Extraction),S604016,Negative,45,366225.78,366225.78125,-1,0,0
5189,5353,N gene,Buffer Negative Control (Extraction),S604016,Negative,45,108681.664,108681.6640625,-1,0,0
5234,91560,E gene,Buffer Negative Control (Extraction),S1110510,Negative,45,264551.84,264551.84375,-1,0,0
5279,91944,N gene,Buffer Negative Control (Extraction),S1110510,Negative,45,100698.88,100698.8828125,-1,0,0
5324,91712,E gene,Buffer Negative Control (Extraction),S1110511,Negative,45,272179.44,272179.4375,-1,0,0
5369,92096,N gene,Buffer Negative Control (Extraction),S1110511,Negative,45,113634.75,113634.75,-1,0,0
5414,125119,E gene,Buffer Negative Control (Extraction),S1175446,Negative,45,252281.03,252281.03125,-1,0,0
5459,125503,N gene,Buffer Negative Control (Extraction),S1175446,Negative,45,101873.4,101873.3984375,-1,0,0
5504,106639,E gene,Buffer Negative Control (Extraction),S1144904,Negative,45,202053.39,202053.390625,-1,0,0
5549,107023,N gene,Buffer Negative Control (Extraction),S1144904,Negative,45,96427.914,96427.9140625,-1,0,0
5594,106663,E gene,Buffer Negative Control (Extraction),S1144897,Negative,45,197341.97,197341.96875,-1,0,0
5639,107047,N gene,Buffer Negative Control (Extraction),S1144897,Negative,45,96835.01,96835.0078125,-1,0,0
5684,106736,E gene,Buffer Negative Control (Extraction),S1144892,Negative,45,225981.25,225981.25,-1,0,0
5729,107120,N gene,Buffer Negative Control (Extraction),S1144892,Negative,45,96711.2,96711.203125,-1,0,0
5774,18369,E gene,Buffer Negative Control (Extraction),S402816,Negative,45,292944.62,292944.625,-1,0,0
5819,18753,N gene,Buffer Negative Control (Extraction),S402816,Negative,45,125632.08,125632.078125,-1,0,0
5864,18479,E gene,Buffer Negative Control (Extraction),S402830,Negative,45,292431.94,292431.9375,-1,0,0
5909,18863,N gene,Buffer Negative Control (Extraction),S402830,Negative,45,114099.48,114099.4765625,-1,0,0
5954,18503,E gene,Buffer Negative Control (Extraction),S402817,Negative,45,311785.88,311785.875,-1,0,0
5999,18887,N gene,Buffer Negative Control (Extraction),S402817,Negative,45,124267.445,124267.4453125,-1,0,0
6044,18504,E gene,Buffer Negative Control (Extraction),S402801,Negative,45,357435.5,357435.5,-1,0,0
6089,18888,N gene,Buffer Negative Control (Extraction),S402801,Negative,45,145802.48,145802.484375,-1,0,0
6134,53695,E gene,Buffer Negative Control (Extraction),S1005987,Negative,45,293555.2,293555.1875,-1,0,0
6179,54079,N gene,Buffer Negative Control (Extraction),S1005987,Negative,45,117749.984,117749.984375,-1,0,0
6224,53696,E gene,Buffer Negative Control (Extraction),S1005969,Negative,45,287148.0,287148.0,-1,0,0
6269,54080,N gene,Buffer Negative Control (Extraction),S1005969,Negative,45,117398.36,117398.359375,-1,0,0
6309,6383,S gene,Buffer Negative Control (Extraction),S141919,Negative,40,168825.05,168825.046875,-1,0,0
6349,5991,N gene,Buffer Negative Control (Extraction),S141919,Negative,40,111250.875,111250.875,-1,0,0
6389,6187,ORF1ab,Buffer Negative Control (Extraction),S141919,Negative,40,211076.0,211076.0,-1,0,0
6434,95119,E gene,Buffer Negative Control (Extraction),S1005970,Negative,45,262442.4,262442.40625,-1,0,0
6479,95503,N gene,Buffer Negative Control (Extraction),S1005970,Negative,45,107104.71,107104.7109375,-1,0,0
6524,12573,E gene,Buffer Negative Control (Extraction),S551923,Negative,45,280576.53,280576.53125,-1,0,0
6569,12957,N gene,Buffer Negative Control (Extraction),S551923,Negative,45,115906.945,115906.9453125,-1,0,0
6614,12599,E gene,Buffer Negative Control (Extraction),S551915,Negative,45,269158.47,269158.46875,-1,0,0
6659,12983,N gene,Buffer Negative Control (Extraction),S551915,Negative,45,107658.2,107658.203125,-1,0,0
6704,12720,E gene,Buffer Negative Control (Extraction),S551922,Negative,45,262609.03,262609.03125,-1,0,0
6749,13104,N gene,Buffer Negative Control (Extraction),S551922,Negative,45,110448.68,110448.6796875,-1,0,0
6794,88132,E gene,Buffer Negative Control (Extraction),S1110490,Negative,45,253826.02,253826.015625,-1,0,0
6839,88516,N gene,Buffer Negative Control (Extraction),S1110490,Negative,45,90219.586,90219.5859375,-1,0,0
6884,88207,E gene,Buffer Negative Control (Extraction),S1110495,Negative,45,257452.14,257452.140625,-1,0,0
6929,88591,N gene,Buffer Negative Control (Extraction),S1110495,Negative,45,92632.34,92632.34375,-1,0,0
6974,88304,E gene,Buffer Negative Control (Extraction),S1110491,Negative,45,281209.1,281209.09375,-1,0,0
7019,88688,N gene,Buffer Negative Control (Extraction),S1110491,Negative,45,126017.01,126017.0078125,-1,0,0
7064,88327,E gene,Buffer Negative Control (Extraction),S1110489,Negative,45,275396.2,275396.1875,-1,0,0
7109,88711,N gene,Buffer Negative Control (Extraction),S1110489,Negative,45,114239.13,114239.1328125,-1,0,0
7154,76735,E gene,Buffer Negative Control (Extraction),S1144922,Negative,45,309806.62,309806.625,-1,0,0
7199,77119,N gene,Buffer Negative Control (Extraction),S1144922,Negative,45,110192.47,110192.46875,-1,0,0
7244,77887,E gene,Buffer Negative Control (Extraction),S1144937,Negative,45,268739.47,268739.46875,-1,0,0
7289,78271,N gene,Buffer Negative Control (Extraction),S1144937,Negative,45,90912.83,90912.828125,-1,0,0
7334,124013,E gene,Buffer Negative Control (Extraction),S1175466,Negative,45,281884.75,281884.75,-1,0,0
7379,124397,N gene,Buffer Negative Control (Extraction),S1175466,Negative,45,124008.734,124008.734375,-1,0,0
7424,99733,E gene,Buffer Negative Control (Extraction),S1280087,Negative,45,214766.22,214766.21875,-1,0,0
7469,100117,N gene,Buffer Negative Control (Extraction),S1280087,Negative,45,109359.69,109359.6875,-1,0,0
7514,126173,E gene,Buffer Negative Control (Extraction),S1280086,Negative,45,258379.34,258379.34375,-1,0,0
7559,126557,N gene,Buffer Negative Control (Extraction),S1280086,Negative,45,128395.11,128395.109375,-1,0,0
7604,92863,E gene,Buffer Negative Control (Extraction),S1110534,Negative,45,264936.78,264936.78125,-1,0,0
7649,93247,N gene,Buffer Negative Control (Extraction),S1110534,Negative,45,98623.65,98623.6484375,-1,0,0
7689,42275,S gene,Buffer Negative Control (Extraction),S133934,Negative,40,237195.94,237195.9375,-1,0,0
7729,41507,N gene,Buffer Negative Control (Extraction),S133934,Negative,40,150346.97,150346.9688,-1,0,0
7769,41891,ORF1ab,Buffer Negative Control (Extraction),S133934,Negative,40,327383.66,327383.6563,-1,0,0
7809,42278,S gene,Buffer Negative Control (Extraction),S133936,Negative,40,202991.06,202991.0625,-1,0,0
7849,41510,N gene,Buffer Negative Control (Extraction),S133936,Negative,40,131960.38,131960.375,-1,0,0
7889,41894,ORF1ab,Buffer Negative Control (Extraction),S133936,Negative,40,280926.62,280926.625,-1,0,0
7929,42347,S gene,Buffer Negative Control (Extraction),S133923,Negative,40,230131.05,230131.0469,-1,0,0
7969,41579,N gene,Buffer Negative Control (Extraction),S133923,Negative,40,150281.39,150281.3906,-1,0,0
8009,41963,ORF1ab,Buffer Negative Control (Extraction),S133923,Negative,40,316040.78,316040.7813,-1,0,0
8049,42507,S gene,Buffer Negative Control (Extraction),S133922,Negative,40,185191.12,185191.125,-1,0,0
8089,41739,N gene,Buffer Negative Control (Extraction),S133922,Negative,40,127101.11,127101.1094,-1,0,0
8129,42123,ORF1ab,Buffer Negative Control (Extraction),S133922,Negative,40,284614.53,284614.5313,-1,0,0
8174,28701,E gene,Buffer Negative Control (Extraction),S402861,Positive,45,377136.4,377136.40625,-1,1,0
8219,29085,N gene,Buffer Negative Control (Extraction),S402861,Positive,45,267559.34,267559.34375,-1,1,0
8264,28936,E gene,Buffer Negative Control (Extraction),S402889,Negative,45,391374.3,391374.3125,-1,0,0
8309,29320,N gene,Buffer Negative Control (Extraction),S402889,Positive,45,358443.9,358443.90625,-1,1,0
8354,28959,E gene,Buffer Negative Control (Extraction),S402871,Negative,45,322910.56,322910.5625,-1,0,0
8399,29343,N gene,Buffer Negative Control (Extraction),S402871,Positive,45,256684.45,256684.453125,-1,1,0
8444,28960,E gene,Buffer Negative Control (Extraction),S402888,Negative,45,325223.25,325223.25,-1,0,0
8489,29344,N gene,Buffer Negative Control (Extraction),S402888,Positive,45,235732.98,235732.984375,-1,1,0
8534,81343,E gene,Buffer Negative Control (Extraction),S1175502,Negative,45,303243.62,303243.625,-1,0,0
8579,81727,N gene,Buffer Negative Control (Extraction),S1175502,Negative,45,96867.99,96867.9921875,-1,0,0
8624,81392,E gene,Buffer Negative Control (Extraction),S1175503,Negative,45,311123.72,311123.71875,-1,0,0
8669,81776,N gene,Buffer Negative Control (Extraction),S1175503,Negative,45,95390.42,95390.421875,-1,0,0
8714,26655,E gene,Buffer Negative Control (Extraction),S402818,Negative,45,235102.98,235102.984375,-1,0,0
8759,27039,N gene,Buffer Negative Control (Extraction),S402818,Negative,45,98336.26,98336.2578125,-1,0,0
8804,82244,E gene,Buffer Negative Control (Extraction),S1175501,Negative,45,245253.47,245253.46875,-1,0,0
8849,82628,N gene,Buffer Negative Control (Extraction),S1175501,Negative,45,94674.84,94674.84375,-1,0,0
8894,65047,E gene,Buffer Negative Control (Extraction),S699483,Negative,45,273902.97,273902.96875,-1,0,0
8939,65431,N gene,Buffer Negative Control (Extraction),S699483,Negative,45,96706.23,96706.2265625,-1,0,0
8984,65263,E gene,Buffer Negative Control (Extraction),S699452,Negative,45,381988.28,381988.28125,-1,0,0
9029,65647,N gene,Buffer Negative Control (Extraction),S699452,Negative,45,149060.88,149060.875,-1,0,0
9074,83405,E gene,Buffer Negative Control (Extraction),S1175504,Negative,45,249843.1,249843.09375,-1,0,0
9119,83789,N gene,Buffer Negative Control (Extraction),S1175504,Negative,45,93855.71,93855.7109375,-1,0,0
9164,83552,E gene,Buffer Negative Control (Extraction),S1175505,Negative,45,251942.53,251942.53125,-1,0,0
9209,83936,N gene,Buffer Negative Control (Extraction),S1175505,Negative,45,106217.46,106217.4609375,-1,0,0
9254,83719,E gene,Buffer Negative Control (Extraction),S1175506,Negative,45,233154.88,233154.875,-1,0,0
9299,84103,N gene,Buffer Negative Control (Extraction),S1175506,Negative,45,96464.26,96464.2578125,-1,0,0
9344,68477,E gene,Buffer Negative Control (Extraction),S872128,Negative,45,237081.17,237081.171875,-1,0,0
9389,68861,N gene,Buffer Negative Control (Extraction),S872128,Negative,45,161836.69,161836.6875,-1,0,0
9434,68550,E gene,Buffer Negative Control (Extraction),S872127,Negative,45,212862.3,212862.296875,-1,0,0
9479,68934,N gene,Buffer Negative Control (Extraction),S872127,Negative,45,110801.04,110801.0390625,-1,0,0
9524,68672,E gene,Buffer Negative Control (Extraction),S872125,Negative,45,211336.48,211336.484375,-1,0,0
9569,69056,N gene,Buffer Negative Control (Extraction),S872125,Negative,45,118114.3,118114.296875,-1,0,0
9614,68695,E gene,Buffer Negative Control (Extraction),S872126,Negative,45,231852.64,231852.640625,-1,0,0
9659,69079,N gene,Buffer Negative Control (Extraction),S872126,Negative,45,123634.305,123634.3046875,-1,0,0
9704,29823,E gene,Buffer Negative Control (Extraction),S551974,Negative,45,337462.2,337462.1875,-1,0,0
9749,30207,N gene,Buffer Negative Control (Extraction),S551974,Negative,45,127974.19,127974.1875,-1,0,0
9794,66320,E gene,Buffer Negative Control (Extraction),S699404,Negative,45,361995.84,361995.84375,-1,0,0
9839,66704,N gene,Buffer Negative Control (Extraction),S699404,Negative,45,90238.96,90238.9609375,-1,0,0
9884,66343,E gene,Buffer Negative Control (Extraction),S699403,Negative,45,348643.1,348643.09375,-1,0,0
9929,66727,N gene,Buffer Negative Control (Extraction),S699403,Negative,45,87035.195,87035.1953125,-1,0,0
9974,66392,E gene,Buffer Negative Control (Extraction),S699393,Negative,45,388626.53,388626.53125,-1,0,0
10019,66776,N gene,Buffer Negative Control (Extraction),S699393,Negative,45,85285.4,85285.3984375,-1,0,0
10064,66415,E gene,Buffer Negative Control (Extraction),S699405,Negative,45,384522.2,384522.1875,-1,0,0
10109,66799,N gene,Buffer Negative Control (Extraction),S699405,Negative,45,93321.68,93321.6796875,-1,0,0
10149,22816,S gene,Buffer Negative Control (Extraction),S123019,Negative,40,181078.81,181078.8125,-1,0,0
10189,22424,N gene,Buffer Negative Control (Extraction),S123019,Negative,40,132684.72,132684.71875,-1,0,0
10229,22620,ORF1ab,Buffer Negative Control (Extraction),S123019,Negative,40,243472.66,243472.65625,-1,0,0
10274,84703,E gene,Buffer Negative Control (Extraction),S1070572,Negative,45,267188.8,267188.8125,-1,0,0
10319,85087,N gene,Buffer Negative Control (Extraction),S1070572,Negative,45,102353.27,102353.2734375,-1,0,0
10364,84848,E gene,Buffer Negative Control (Extraction),S1070568,Negative,45,276503.44,276503.4375,-1,0,0
10409,85232,N gene,Buffer Negative Control (Extraction),S1070568,Negative,45,123757.05,123757.046875,-1,0,0
10454,84871,E gene,Buffer Negative Control (Extraction),S1070570,Negative,45,290001.34,290001.34375,-1,0,0
10499,85255,N gene,Buffer Negative Control (Extraction),S1070570,Negative,45,126873.15,126873.1484375,-1,0,0
10544,84872,E gene,Buffer Negative Control (Extraction),S1070562,Negative,45,303356.97,303356.96875,-1,0,0
10589,85256,N gene,Buffer Negative Control (Extraction),S1070562,Negative,45,137855.08,137855.078125,-1,0,0
10634,69823,E gene,Buffer Negative Control (Extraction),S872138,Negative,45,189455.12,189455.125,-1,0,0
10679,70207,N gene,Buffer Negative Control (Extraction),S872138,Negative,45,105743.6,105743.6015625,-1,0,0
10719,43272,S gene,Buffer Negative Control (Extraction),S137845,Negative,40,285696.2,285696.1875,-1,0,0
10759,42880,N gene,Buffer Negative Control (Extraction),S137845,Negative,40,190410.75,190410.75,-1,0,0
10799,43076,ORF1ab,Buffer Negative Control (Extraction),S137845,Negative,40,393407.94,393407.9375,-1,0,0
10839,40943,S gene,Buffer Negative Control (Extraction),S133942,Negative,40,199241.23,199241.234375,-1,0,0
10879,40551,N gene,Buffer Negative Control (Extraction),S133942,Negative,40,137760.08,137760.078125,-1,0,0
10919,40747,ORF1ab,Buffer Negative Control (Extraction),S133942,Negative,40,248613.03,248613.03125,-1,0,0
10959,130033,S gene,Buffer Negative Control (Extraction),S123049,Negative,40,257394.67,257394.671875,-1,0,0
10999,129641,N gene,Buffer Negative Control (Extraction),S123049,Negative,40,169024.31,169024.3125,-1,0,0
11039,129837,ORF1ab,Buffer Negative Control (Extraction),S123049,Negative,40,393104.8,393104.8125,-1,0,0
11079,130123,S gene,Buffer Negative Control (Extraction),S123020,Negative,40,262986.84,262986.84375,-1,0,0
11119,129731,N gene,Buffer Negative Control (Extraction),S123020,Negative,40,162471.88,162471.875,-1,0,0
11159,129927,ORF1ab,Buffer Negative Control (Extraction),S123020,Negative,40,359950.03,359950.03125,-1,0,0
11199,21875,S gene,Buffer Negative Control (Extraction),S123004,Negative,40,254317.06,254317.0625,-1,0,0
11239,21483,N gene,Buffer Negative Control (Extraction),S123004,Negative,40,169887.06,169887.0625,-1,0,0
11279,21679,ORF1ab,Buffer Negative Control (Extraction),S123004,Negative,40,351816.06,351816.0625,-1,0,0
