,curve_idx,target,sample_type,sample_id,igi_call,cycle_no,Fn,rn,groundtruth,split,Igi_call_quant,groundtruth_target
4059,12198,RnaseP,Negative Control (qPCR),S624960,Negative,45,18304.902,18304.90234375,-1,test,0,0
4104,11430,E gene,Negative Control (qPCR),S624960,Negative,45,115106.016,115106.015625,-1,test,0,0
4149,11814,N gene,Negative Control (qPCR),S624960,Negative,45,96323.98,96323.9765625,-1,test,0,0
4194,12221,RnaseP,Negative Control (qPCR),S624961,Negative,45,16424.062,16424.0625,-1,test,0,0
4239,11453,E gene,Negative Control (qPCR),S624961,Negative,45,109708.02,109708.0234375,-1,test,0,0
4284,11837,N gene,Negative Control (qPCR),S624961,Negative,45,90303.586,90303.5859375,-1,test,0,0
4329,12222,RnaseP,Negative Control (qPCR),S624962,Negative,45,18416.244,18416.244140625,-1,test,0,0
4374,11454,E gene,Negative Control (qPCR),S624962,Negative,45,126163.67,126163.671875,-1,test,0,0
4419,11838,N gene,Negative Control (qPCR),S624962,Negative,45,98948.19,98948.1875,-1,test,0,0
4464,103861,RnaseP,Negative Control (qPCR),S848967,Negative,45,20532.06,20532.060546875,-1,train,0,0
4509,103093,E gene,Negative Control (qPCR),S848967,Negative,45,227708.17,227708.171875,-1,train,0,0
4554,103477,N gene,Negative Control (qPCR),S848967,Negative,45,99454.18,99454.1796875,-1,train,0,0
4599,103862,RnaseP,Negative Control (qPCR),S1092319,Negative,45,17491.477,17491.4765625,-1,train,0,0
4644,103094,E gene,Negative Control (qPCR),S1092319,Negative,45,213388.03,213388.03125,-1,train,0,0
4689,103478,N gene,Negative Control (qPCR),S1092319,Negative,45,88198.98,88198.9765625,-1,train,0,0
4734,103885,RnaseP,Negative Control (qPCR),S1092320,Negative,45,16166.167,16166.1669921875,-1,val,0,0
4779,103117,E gene,Negative Control (qPCR),S1092320,Negative,45,190985.83,190985.828125,-1,val,0,0
4824,103501,N gene,Negative Control (qPCR),S1092320,Negative,45,74791.664,74791.6640625,-1,val,0,0
4869,103886,RnaseP,Negative Control (qPCR),S1092321,Negative,45,17105.94,17105.939453125,-1,train,0,0
4914,103118,E gene,Negative Control (qPCR),S1092321,Negative,45,207207.47,207207.46875,-1,train,0,0
4959,103502,N gene,Negative Control (qPCR),S1092321,Negative,45,79943.734,79943.734375,-1,train,0,0
5004,56629,RnaseP,Negative Control (qPCR),S849135,Negative,45,33962.34,33962.33984375,-1,train,0,0
5049,55861,E gene,Negative Control (qPCR),S849135,Negative,45,278811.5,278811.5,-1,train,0,0
5094,56245,N gene,Negative Control (qPCR),S849135,Negative,45,126953.96,126953.9609375,-1,train,0,0
5139,56630,RnaseP,Negative Control (qPCR),S1005571,Negative,45,23529.588,23529.587890625,-1,train,0,0
5184,55862,E gene,Negative Control (qPCR),S1005571,Negative,45,259573.83,259573.828125,-1,train,0,0
5229,56246,N gene,Negative Control (qPCR),S1005571,Negative,45,111462.78,111462.78125,-1,train,0,0
5274,56653,RnaseP,Negative Control (qPCR),S1005572,Negative,45,22176.775,22176.775390625,-1,train,0,0
5319,55885,E gene,Negative Control (qPCR),S1005572,Negative,45,240159.34,240159.34375,-1,train,0,0
5364,56269,N gene,Negative Control (qPCR),S1005572,Negative,45,99297.14,99297.140625,-1,train,0,0
5409,56654,RnaseP,Negative Control (qPCR),S1005573,Negative,45,26767.9,26767.900390625,-1,train,0,0
5454,55886,E gene,Negative Control (qPCR),S1005573,Negative,45,224212.53,224212.53125,-1,train,0,0
5499,56270,N gene,Negative Control (qPCR),S1005573,Negative,45,86240.914,86240.9140625,-1,train,0,0
5544,64693,RnaseP,Negative Control (qPCR),S543592,Negative,45,27690.79,27690.7890625,-1,train,0,0
5589,63925,E gene,Negative Control (qPCR),S543592,Negative,45,279818.6,279818.59375,-1,train,0,0
5634,64309,N gene,Negative Control (qPCR),S543592,Negative,45,138206.03,138206.03125,-1,train,0,0
5679,64694,RnaseP,Negative Control (qPCR),S993280,Negative,45,24957.697,24957.697265625,-1,test,0,0
5724,63926,E gene,Negative Control (qPCR),S993280,Negative,45,259620.72,259620.71875,-1,test,0,0
5769,64310,N gene,Negative Control (qPCR),S993280,Negative,45,123585.195,123585.1953125,-1,test,0,0
5814,64717,RnaseP,Negative Control (qPCR),S993281,Negative,45,22486.723,22486.72265625,-1,test,0,0
5859,63949,E gene,Negative Control (qPCR),S993281,Negative,45,237937.23,237937.234375,-1,test,0,0
5904,64333,N gene,Negative Control (qPCR),S993281,Negative,45,109356.55,109356.546875,-1,test,0,0
5949,64718,RnaseP,Negative Control (qPCR),S993282,Negative,45,24057.783,24057.783203125,-1,val,0,0
5994,63950,E gene,Negative Control (qPCR),S993282,Negative,45,250919.06,250919.0625,-1,val,0,0
6039,64334,N gene,Negative Control (qPCR),S993282,Negative,45,113262.23,113262.2265625,-1,val,0,0
6084,118837,RnaseP,Negative Control (qPCR),S1122973,Negative,45,20455.564,20455.564453125,-1,val,0,0
6129,118069,E gene,Negative Control (qPCR),S1122973,Negative,45,267493.6,267493.59375,-1,val,0,0
6174,118453,N gene,Negative Control (qPCR),S1122973,Negative,45,107560.484,107560.484375,-1,val,0,0
6219,118838,RnaseP,Negative Control (qPCR),S1264697,Negative,45,18511.55,18511.55078125,-1,train,0,0
6264,118070,E gene,Negative Control (qPCR),S1264697,Negative,45,247758.61,247758.609375,-1,train,0,0
6309,118454,N gene,Negative Control (qPCR),S1264697,Negative,45,89754.9,89754.8984375,-1,train,0,0
6354,118861,RnaseP,Negative Control (qPCR),S1264698,Negative,45,16166.196,16166.1962890625,-1,train,0,0
6399,118093,E gene,Negative Control (qPCR),S1264698,Negative,45,226901.06,226901.0625,-1,train,0,0
6444,118477,N gene,Negative Control (qPCR),S1264698,Negative,45,90448.445,90448.4453125,-1,train,0,0
6489,118862,RnaseP,Negative Control (qPCR),S1264699,Negative,45,17401.727,17401.7265625,-1,test,0,0
6534,118094,E gene,Negative Control (qPCR),S1264699,Negative,45,244406.97,244406.96875,-1,test,0,0
6579,118478,N gene,Negative Control (qPCR),S1264699,Negative,45,95809.15,95809.1484375,-1,test,0,0
6624,4405,RnaseP,Negative Control (qPCR),S543703,Negative,45,23049.201,23049.201171875,-1,train,0,0
6669,3637,E gene,Negative Control (qPCR),S543703,Negative,45,150765.27,150765.265625,-1,train,0,0
6714,4021,N gene,Negative Control (qPCR),S543703,Negative,45,132798.27,132798.265625,-1,train,0,0
6759,4406,RnaseP,Negative Control (qPCR),S662380,Negative,45,23487.764,23487.763671875,-1,test,0,0
6804,3638,E gene,Negative Control (qPCR),S662380,Negative,45,145532.16,145532.15625,-1,test,0,0
6849,4022,N gene,Negative Control (qPCR),S662380,Negative,45,130224.96,130224.9609375,-1,test,0,0
6894,4429,RnaseP,Negative Control (qPCR),S662381,Negative,45,21294.049,21294.048828125,-1,train,0,0
6939,3661,E gene,Negative Control (qPCR),S662381,Negative,45,138948.14,138948.140625,-1,train,0,0
6984,4045,N gene,Negative Control (qPCR),S662381,Negative,45,117793.836,117793.8359375,-1,train,0,0
7029,4430,RnaseP,Negative Control (qPCR),S662382,Negative,45,23323.498,23323.498046875,-1,test,0,0
7074,3662,E gene,Negative Control (qPCR),S662382,Negative,45,135829.02,135829.015625,-1,test,0,0
7119,4046,N gene,Negative Control (qPCR),S662382,Negative,45,123751.47,123751.46875,-1,test,0,0
7164,60085,RnaseP,Negative Control (qPCR),S543552,Negative,45,27560.893,27560.892578125,-1,test,0,0
7209,59317,E gene,Negative Control (qPCR),S543552,Negative,45,258376.33,258376.328125,-1,test,0,0
7254,59701,N gene,Negative Control (qPCR),S543552,Negative,45,126600.34,126600.34375,-1,test,0,0
7299,60086,RnaseP,Negative Control (qPCR),S987939,Negative,45,24176.52,24176.51953125,-1,val,0,0
7344,59318,E gene,Negative Control (qPCR),S987939,Negative,45,241081.66,241081.65625,-1,val,0,0
7389,59702,N gene,Negative Control (qPCR),S987939,Negative,45,114186.016,114186.015625,-1,val,0,0
7434,60109,RnaseP,Negative Control (qPCR),S987940,Negative,45,21176.16,21176.16015625,-1,val,0,0
7479,59341,E gene,Negative Control (qPCR),S987940,Negative,45,218125.52,218125.515625,-1,val,0,0
7524,59725,N gene,Negative Control (qPCR),S987940,Negative,45,99609.61,99609.609375,-1,val,0,0
7569,60110,RnaseP,Negative Control (qPCR),S987941,Negative,45,23278.832,23278.83203125,-1,val,0,0
7614,59342,E gene,Negative Control (qPCR),S987941,Negative,45,234781.53,234781.53125,-1,val,0,0
7659,59726,N gene,Negative Control (qPCR),S987941,Negative,45,106079.88,106079.8828125,-1,val,0,0
7699,9593,S gene,Negative Control (qPCR),S089635,Negative,40,165787.06,165787.0625,-1,test,0,0
7739,9201,N gene,Negative Control (qPCR),S089635,Negative,40,98904.67,98904.671875,-1,test,0,0
7779,9397,ORF1ab,Negative Control (qPCR),S089635,Negative,40,185389.56,185389.5625,-1,test,0,0
7819,9005,MS2,Negative Control (qPCR),S089635,Negative,40,199242.88,199242.875,-1,test,0,0
7859,9594,S gene,Negative Control (qPCR),S149801,Negative,40,171578.12,171578.125,-1,train,0,0
7899,9202,N gene,Negative Control (qPCR),S149801,Negative,40,109535.836,109535.8359375,-1,train,0,0
7939,9398,ORF1ab,Negative Control (qPCR),S149801,Negative,40,205658.22,205658.21875,-1,train,0,0
7979,9006,MS2,Negative Control (qPCR),S149801,Negative,40,223844.22,223844.21875,-1,train,0,0
8019,9596,S gene,Negative Control (qPCR),S149802,Negative,40,150433.9,150433.90625,-1,train,0,0
8059,9204,N gene,Negative Control (qPCR),S149802,Negative,40,95361.266,95361.265625,-1,train,0,0
8099,9400,ORF1ab,Negative Control (qPCR),S149802,Negative,40,180898.66,180898.65625,-1,train,0,0
8139,9008,MS2,Negative Control (qPCR),S149802,Negative,40,194608.81,194608.8125,-1,train,0,0
8179,9597,S gene,Negative Control (qPCR),S149803,Negative,40,162986.69,162986.6875,-1,train,0,0
8219,9205,N gene,Negative Control (qPCR),S149803,Negative,40,102624.766,102624.765625,-1,train,0,0
8259,9401,ORF1ab,Negative Control (qPCR),S149803,Negative,40,190598.62,190598.625,-1,train,0,0
8299,9009,MS2,Negative Control (qPCR),S149803,Negative,40,212340.92,212340.921875,-1,train,0,0
8339,21161,S gene,Negative Control (qPCR),S172102,Negative,40,235152.72,235152.71875,-1,val,0,0
8379,20769,N gene,Negative Control (qPCR),S172102,Negative,40,142892.86,142892.859375,-1,val,0,0
8419,20965,ORF1ab,Negative Control (qPCR),S172102,Negative,40,300760.66,300760.65625,-1,val,0,0
8459,20573,MS2,Negative Control (qPCR),S172102,Negative,40,275015.38,275015.375,-1,val,0,0
8499,21162,S gene,Negative Control (qPCR),S192182,Negative,40,220983.78,220983.78125,-1,test,0,0
8539,20770,N gene,Negative Control (qPCR),S192182,Negative,40,133474.98,133474.984375,-1,test,0,0
8579,20966,ORF1ab,Negative Control (qPCR),S192182,Negative,40,267703.34,267703.34375,-1,test,0,0
8619,20574,MS2,Negative Control (qPCR),S192182,Negative,40,262358.53,262358.53125,-1,test,0,0
8659,21164,S gene,Negative Control (qPCR),S192183,Negative,40,209173.58,209173.578125,-1,train,0,0
8699,20772,N gene,Negative Control (qPCR),S192183,Negative,40,127642.305,127642.3046875,-1,train,0,0
8739,20968,ORF1ab,Negative Control (qPCR),S192183,Negative,40,263313.47,263313.46875,-1,train,0,0
8779,20576,MS2,Negative Control (qPCR),S192183,Negative,40,245198.7,245198.703125,-1,train,0,0
8819,21165,S gene,Negative Control (qPCR),S192184,Negative,40,226442.53,226442.53125,-1,train,0,0
8859,20773,N gene,Negative Control (qPCR),S192184,Negative,40,134763.11,134763.109375,-1,train,0,0
8899,20969,ORF1ab,Negative Control (qPCR),S192184,Negative,40,280172.97,280172.96875,-1,train,0,0
8939,20577,MS2,Negative Control (qPCR),S192184,Negative,40,266628.34,266628.34375,-1,train,0,0
8979,3253,S gene,Negative Control (qPCR),S089572,Negative,40,225044.78,225044.78125,-1,test,0,0
9019,2485,N gene,Negative Control (qPCR),S089572,Negative,40,145160.36,145160.359375,-1,test,0,0
9059,2869,ORF1ab,Negative Control (qPCR),S089572,Negative,40,309375.7,309375.6875,-1,test,0,0
9099,2101,MS2,Negative Control (qPCR),S089572,Negative,40,273950.6,273950.59375,-1,test,0,0
9139,3254,S gene,Negative Control (qPCR),S138386,Negative,40,222628.1,222628.09375,-1,train,0,0
9179,2486,N gene,Negative Control (qPCR),S138386,Negative,40,144312.34,144312.34375,-1,train,0,0
9219,2870,ORF1ab,Negative Control (qPCR),S138386,Negative,40,305696.3,305696.3125,-1,train,0,0
9259,2102,MS2,Negative Control (qPCR),S138386,Negative,40,274593.38,274593.375,-1,train,0,0
9299,3277,S gene,Negative Control (qPCR),S138387,Negative,40,201006.89,201006.890625,-1,val,0,0
9339,2509,N gene,Negative Control (qPCR),S138387,Negative,40,127077.336,127077.3359375,-1,val,0,0
9379,2893,ORF1ab,Negative Control (qPCR),S138387,Negative,40,271630.25,271630.25,-1,val,0,0
9419,2125,MS2,Negative Control (qPCR),S138387,Negative,40,239860.39,239860.390625,-1,val,0,0
9459,3278,S gene,Negative Control (qPCR),S138388,Negative,40,211948.44,211948.4375,-1,train,0,0
9499,2510,N gene,Negative Control (qPCR),S138388,Negative,40,137154.33,137154.328125,-1,train,0,0
9539,2894,ORF1ab,Negative Control (qPCR),S138388,Negative,40,289640.2,289640.1875,-1,train,0,0
9579,2126,MS2,Negative Control (qPCR),S138388,Negative,40,262641.97,262641.96875,-1,train,0,0
9619,8809,S gene,Negative Control (qPCR),S089580,Negative,40,167388.58,167388.578125,-1,train,0,0
9659,8417,N gene,Negative Control (qPCR),S089580,Negative,40,102590.22,102590.21875,-1,train,0,0
9699,8613,ORF1ab,Negative Control (qPCR),S089580,Negative,40,192705.06,192705.0625,-1,train,0,0
9739,8221,MS2,Negative Control (qPCR),S089580,Negative,40,211925.84,211925.84375,-1,train,0,0
9779,8810,S gene,Negative Control (qPCR),S146332,Negative,40,178351.95,178351.953125,-1,train,0,0
9819,8418,N gene,Negative Control (qPCR),S146332,Negative,40,113712.52,113712.5234375,-1,train,0,0
9859,8614,ORF1ab,Negative Control (qPCR),S146332,Negative,40,213583.55,213583.546875,-1,train,0,0
9899,8222,MS2,Negative Control (qPCR),S146332,Negative,40,232375.28,232375.28125,-1,train,0,0
9939,8812,S gene,Negative Control (qPCR),S146333,Negative,40,161726.16,161726.15625,-1,val,0,0
9979,8420,N gene,Negative Control (qPCR),S146333,Negative,40,103298.91,103298.90625,-1,val,0,0
10019,8616,ORF1ab,Negative Control (qPCR),S146333,Negative,40,196060.4,196060.40625,-1,val,0,0
10059,8224,MS2,Negative Control (qPCR),S146333,Negative,40,211583.66,211583.65625,-1,val,0,0
10099,8813,S gene,Negative Control (qPCR),S146334,Negative,40,169110.42,169110.421875,-1,test,0,0
10139,8421,N gene,Negative Control (qPCR),S146334,Negative,40,132771.14,132771.140625,-1,test,0,0
10179,8617,ORF1ab,Negative Control (qPCR),S146334,Negative,40,200917.7,200917.703125,-1,test,0,0
10219,8225,MS2,Negative Control (qPCR),S146334,Negative,40,222169.27,222169.265625,-1,test,0,0
10259,35513,S gene,Negative Control (qPCR),S252467,Negative,40,215322.6,215322.59375,-1,val,0,0
10299,35121,N gene,Negative Control (qPCR),S252467,Negative,40,140008.0,140008.0,-1,val,0,0
10339,35317,ORF1ab,Negative Control (qPCR),S252467,Negative,40,285951.4,285951.40625,-1,val,0,0
10379,34925,MS2,Negative Control (qPCR),S252467,Negative,40,230943.69,230943.6875,-1,val,0,0
10419,35514,S gene,Negative Control (qPCR),S294966,Negative,40,200783.22,200783.21875,-1,test,0,0
10459,35122,N gene,Negative Control (qPCR),S294966,Negative,40,131411.2,131411.203125,-1,test,0,0
10499,35318,ORF1ab,Negative Control (qPCR),S294966,Negative,40,261528.98,261528.984375,-1,test,0,0
10539,34926,MS2,Negative Control (qPCR),S294966,Negative,40,214578.2,214578.203125,-1,test,0,0
10579,35516,S gene,Negative Control (qPCR),S294967,Negative,40,222097.92,222097.921875,-1,train,0,0
10619,35124,N gene,Negative Control (qPCR),S294967,Negative,40,143836.94,143836.9375,-1,train,0,0
10659,35320,ORF1ab,Negative Control (qPCR),S294967,Negative,40,294900.2,294900.1875,-1,train,0,0
10699,34928,MS2,Negative Control (qPCR),S294967,Negative,40,239181.7,239181.703125,-1,train,0,0
10739,35517,S gene,Negative Control (qPCR),S294968,Negative,40,245141.97,245141.96875,-1,test,0,0
10779,35125,N gene,Negative Control (qPCR),S294968,Negative,40,156897.62,156897.625,-1,test,0,0
10819,35321,ORF1ab,Negative Control (qPCR),S294968,Negative,40,327484.47,327484.46875,-1,test,0,0
10859,34929,MS2,Negative Control (qPCR),S294968,Negative,40,266786.97,266786.96875,-1,test,0,0
10904,49717,RnaseP,Negative Control (qPCR),S849249,Negative,45,24506.912,24506.912109375,-1,train,0,0
10949,48949,E gene,Negative Control (qPCR),S849249,Negative,45,267060.66,267060.65625,-1,train,0,0
10994,49333,N gene,Negative Control (qPCR),S849249,Negative,45,118063.09,118063.09375,-1,train,0,0
11039,49718,RnaseP,Negative Control (qPCR),S942163,Negative,45,25747.836,25747.8359375,-1,val,0,0
11084,48950,E gene,Negative Control (qPCR),S942163,Negative,45,274104.66,274104.65625,-1,val,0,0
11129,49334,N gene,Negative Control (qPCR),S942163,Negative,45,118492.37,118492.3671875,-1,val,0,0
11174,49741,RnaseP,Negative Control (qPCR),S942164,Negative,45,22622.791,22622.791015625,-1,test,0,0
11219,48973,E gene,Negative Control (qPCR),S942164,Negative,45,262866.8,262866.8125,-1,test,0,0
11264,49357,N gene,Negative Control (qPCR),S942164,Negative,45,107696.67,107696.671875,-1,test,0,0
11309,49742,RnaseP,Negative Control (qPCR),S942165,Negative,45,43261.258,43261.2578125,-1,train,0,0
11354,48974,E gene,Negative Control (qPCR),S942165,Negative,45,273262.1,273262.09375,-1,train,0,0
11399,49358,N gene,Negative Control (qPCR),S942165,Negative,45,115578.945,115578.9453125,-1,train,0,0
11444,52021,RnaseP,Negative Control (qPCR),S543637,Negative,45,16143.983,16143.9833984375,-1,test,0,0
11489,51253,E gene,Negative Control (qPCR),S543637,Negative,45,132674.62,132674.625,-1,test,0,0
